T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,312.2083333333333
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,237.625
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,202.875
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,260.1666666666667
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,403.9583333333333
16,25.2,10,1013.2,79,0.6,4.8,11.1,284.1666666666667
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,288.4166666666667
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,256.8333333333333
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,169.0
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,186.04166666666666
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,185.58333333333334
13.4,21.1,5.6,1020,60,1.9,8,22.2
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8
13.7,22,7,1018.2,63,1.8,7.2,18.3
14.9,21.9,7.1,1018.3,73,0.6,2,7.6
